"Revenue type";"Date";"Planned revenue volume";"Actual revenue volume";"Revenue completion rate";"global_id"
"Вид дохода";"Дата";"Планируемый объём дохода";"Фактическое исполнение";"Процент исполнения";"global_id"
"Административные штрафы, установленные Кодексом Российской Федерации об административных правонарушениях";"01.01.2024";"26.2";"25.8";"98.3";"2687941950"
"Налог на профессиональный доход";"01.01.2024";"7";"10.4";"148.2";"2687941951"
"ДОХОДЫ ОТ ИСПОЛЬЗОВАНИЯ ИМУЩЕСТВА, НАХОДЯЩЕГОСЯ В ГОСУДАРСТВЕННОЙ И МУНИЦИПАЛЬНОЙ СОБСТВЕННОСТИ";"01.01.2024";"164.2";"230.8";"140.5";"2687941952"
"Административные штрафы, установленные Кодексом Российской Федерации об административных правонарушениях, за административные правонарушения в области производства и оборота этилового спирта, алкогольной и спиртосодержащей продукции, а также за административные правонарушения порядка ценообразования в части регулирования цен на этиловый спирт, алкогольную и спиртосодержащую продукцию";"01.01.2024";"0.1";"0.1";"118.4";"2687941953"
"Налог, взимаемый в связи с применением специального налогового режима «Автоматизированная упрощенная система налогообложения»";"01.01.2024";"";"0.3";"";"2687941954"
"Доходы в виде прибыли, приходящейся на доли в уставных (складочных) капиталах хозяйственных товариществ и обществ, или дивидендов по акциям, принадлежащим Российской Федерации, субъектам Российской Федерации или муниципальным образованиям";"01.01.2024";"1.8";"2.1";"116.5";"2687941955"
"Административные штрафы, установленные законами субъектов Российской Федерации об административных правонарушениях";"01.01.2024";"11.9";"10.8";"91";"2687941956"
"НАЛОГИ НА ИМУЩЕСТВО";"01.01.2024";"250.6";"267";"106.5";"2687941957"
"Доходы от размещения средств бюджетов";"01.01.2024";"63.1";"96.3";"152.5";"2687941958"
"Налог на имущество физических лиц";"01.01.2024";"24.7";"30.4";"123.2";"2687941959"
"Штрафы, неустойки, пени, уплаченные в соответствии с законом или договором в случае неисполнения или ненадлежащего исполнения обязательств перед государственным (муниципальным) органом, органом управления государственным внебюджетным фондом, казенным учреждением, Центральным банком Российской Федерации, иной организацией, действующей от имени Российской Федерации";"01.01.2024";"3.6";"4.5";"124.5";"2687941960"
"Доходы, получаемые в виде арендной либо иной платы за передачу в возмездное пользование государственного и муниципального имущества (за исключением имущества бюджетных и автономных учреждений, а также имущества государственных и муниципальных унитарных предприятий, в том числе казенных)";"01.01.2024";"90";"123.8";"137.5";"2687941961"
"Платежи в целях возмещения причиненного ущерба (убытков)";"01.01.2024";"0.05";"0.2";"441.6";"2687941962"
"Налог на имущество организаций";"01.01.2024";"166.2";"179.1";"107.8";"2687941963"
"Плата по соглашениям об установлении сервитута в отношении земельных участков, находящихся в государственной или муниципальной собственности";"01.01.2024";"1.0E-5";"0.01";"137074.1";"2687941964"
"Платежи, уплачиваемые в целях возмещения вреда";"01.01.2024";"0.03";"0.04";"150.1";"2687941965"
"Транспортный налог";"01.01.2024";"32";"32.6";"101.9";"2687941966"
"Доходы от сумм пеней, предусмотренных законодательством Российской Федерации о налогах и сборах, подлежащие зачислению в бюджеты субъектов Российской Федерации по нормативу, установленному Бюджетным кодексом Российской Федерации, распределяемые Федеральным казначейством между бюджетами субъектов Российской Федерации в соответствии с федеральным законом о федеральном бюджете";"01.01.2024";"";"8";"";"2687941967"
"Платежи от государственных и муниципальных унитарных предприятий";"01.01.2024";"1.3";"0.9";"65.4";"2687941968"
"Налог на игорный бизнес";"01.01.2024";"0.4";"0.3";"73";"2687941969"
"ПРОЧИЕ НЕНАЛОГОВЫЕ ДОХОДЫ";"01.01.2024";"26.5";"50";"188.4";"2687941970"
"Средства, получаемые от передачи имущества, находящегося в государственной и муниципальной собственности (за исключением имущества бюджетных и автономных учреждений, а также имущества государственных и муниципальных унитарных предприятий, в том числе казенных), в залог, в доверительное управление";"01.01.2024";"0.1";"0.001";"1.3";"2687941971"
"Земельный налог";"01.01.2024";"27.3";"24.6";"89.8";"2687941972"
"Невыясненные поступления";"01.01.2024";"";"-0.01";"";"2687941973"
"Прочие доходы от использования имущества и прав, находящихся в государственной и муниципальной собственности (за исключением имущества бюджетных и автономных учреждений, а также имущества государственных и муниципальных унитарных предприятий, в том числе казенных)";"01.01.2024";"7.8";"7.7";"98.5";"2687941974"
"НАЛОГИ, СБОРЫ И РЕГУЛЯРНЫЕ ПЛАТЕЖИ ЗА ПОЛЬЗОВАНИЕ ПРИРОДНЫМИ РЕСУРСАМИ";"01.01.2024";"0.01";"-0.04";"-538.2";"2687941975"
"Прочие неналоговые доходы";"01.01.2024";"26.5";"50";"188.4";"2687941976"
"ПЛАТЕЖИ ПРИ ПОЛЬЗОВАНИИ ПРИРОДНЫМИ РЕСУРСАМИ";"01.01.2024";"0.2";"0.2";"81.8";"2687941977"
"Налог на добычу полезных ископаемых";"01.01.2024";"";"-0.1";"";"2687941978"
"Плата за негативное воздействие на окружающую среду";"01.01.2024";"0.2";"0.1";"81.1";"2687941979"
"Прочие неналоговые доходы в части невыясненных поступлений, по которым не осуществлен возврат (уточнение) не позднее трех лет со дня их зачисления на единый счет соответствующего бюджета бюджетной системы Российской Федерации";"01.01.2024";"1.0E-4";"0.001";"715.8";"2687941980"
"Сборы за пользование объектами животного мира и за пользование объектами водных биологических ресурсов";"01.01.2024";"0.01";"0.01";"140.1";"2687941981"
"Платежи при пользовании недрами";"01.01.2024";"0.001";"0.002";"260.9";"2687941982"
"Безвозмездные поступления";"01.01.2024";"40.8";"78.3";"192";"2687941983"
