Revenue type,Date,Planned revenue volume,Actual revenue volume,Revenue completion rate,global_id,Quarter
"Административные штрафы, установленные Кодексом Российской Федерации об административных правонарушениях",2024-01-01,26.2,25.8,98.3,2687941950,2024Q1
"Доходы от продажи земельных участков, находящихся в государственной и муниципальной собственности",2024-01-01,1.8,4.5,253.3,2687942001,2024Q1
"НАЛОГИ НА ТОВАРЫ (РАБОТЫ, УСЛУГИ), РЕАЛИЗУЕМЫЕ НА ТЕРРИТОРИИ РОССИЙСКОЙ ФЕДЕРАЦИИ",2024-01-01,62.5,63.2,101.1,2687942000,2024Q1
"Доходы от реализации имущества, находящегося в государственной и муниципальной собственности (за исключением движимого имущества бюджетных и автономных учреждений, а также имущества государственных и муниципальных унитарных предприятий, в том числе казенных)",2024-01-01,8.2,10.8,131.7,2687941999,2024Q1
"Государственная пошлина за государственную регистрацию, а также за совершение прочих юридически значимых действий",2024-01-01,2.2,2.5,115.0,2687941998,2024Q1
Налог на доходы физических лиц,2024-01-01,1716.8,1744.0,101.6,2687941997,2024Q1
Доходы от продажи квартир,2024-01-01,3.9,4.7,119.5,2687941996,2024Q1
"Акцизы по подакцизным товарам (продукции), производимым на территории Российской Федерации",2024-01-01,62.5,63.2,101.1,2687942003,2024Q1
"Государственная пошлина за совершение действий, связанных с приобретением гражданства Российской Федерации или выходом из гражданства Российской Федерации, а также с въездом в Российскую Федерацию или выездом из Российской Федерации",2024-01-01,0.3,0.4,117.8,2687941995,2024Q1
ДОХОДЫ ОТ ПРОДАЖИ МАТЕРИАЛЬНЫХ И НЕМАТЕРИАЛЬНЫХ АКТИВОВ,2024-01-01,20.9,36.0,172.3,2687941993,2024Q1
"Государственная пошлина за государственную регистрацию актов гражданского состояния и другие юридически значимые действия, совершаемые органами записи актов гражданского состояния и иными уполномоченными органами (за исключением консульских учреждений Российской Федерации)",2024-01-01,0.0,0.1,0.0,2687941992,2024Q1
"НАЛОГИ НА ПРИБЫЛЬ, ДОХОДЫ",2024-01-01,2929.8,3188.8,108.8,2687941991,2024Q1
Доходы от компенсации затрат государства,2024-01-01,11.0,14.6,132.6,2687941990,2024Q1
"Государственная пошлина по делам, рассматриваемым в судах общей юрисдикции, мировыми судьями",2024-01-01,2.0,2.5,126.0,2687941989,2024Q1
Налоговые доходы,2024-01-01,3482.3,3750.0,107.7,2687941988,2024Q1
Налог на прибыль организаций,2024-01-01,1213.0,1444.8,119.1,2687941994,2024Q1
"Доходы от приватизации имущества, находящегося в государственной и муниципальной собственности",2024-01-01,6.9,15.9,229.6,2687942004,2024Q1
НАЛОГИ НА СОВОКУПНЫЙ ДОХОД,2024-01-01,234.8,225.5,96.0,2687942005,2024Q1
"Налог на прибыль организаций, зачислявшийся до 1 января 2005 года в местные бюджеты",2024-01-01,0.0,-3e-06,0.0,2687942006,2024Q1
Неналоговые доходы,2024-01-01,266.5,382.7,143.6,2687942021,2024Q1
"Налог, взимаемый в виде стоимости патента в связи с применением упрощенной системы налогообложения",2024-01-01,0.0,-0.001,0.0,2687942020,2024Q1
Прочие налоги и сборы (по отмененным местным налогам и сборам),2024-01-01,0.0,0.0004,0.0,2687942019,2024Q1
Торговый сбор,2024-01-01,8.0,8.1,101.4,2687942018,2024Q1
Прочие налоги и сборы (по отмененным налогам и сборам субъектов Российской Федерации),2024-01-01,0.0,0.001,0.0,2687942017,2024Q1
"Налог, взимаемый в связи с применением патентной системы налогообложения",2024-01-01,9.1,4.6,50.5,2687942016,2024Q1
Прочие налоги и сборы (по отмененным федеральным налогам и сборам),2024-01-01,0.0,-2e-06,0.0,2687942015,2024Q1
Единый сельскохозяйственный налог,2024-01-01,0.04,0.1,138.5,2687942014,2024Q1
"ШТРАФЫ, САНКЦИИ, ВОЗМЕЩЕНИЕ УЩЕРБА",2024-01-01,41.9,49.4,118.0,2687942013,2024Q1
Налоги на имущество,2024-01-01,0.0,0.003,0.0,2687942012,2024Q1
Единый налог на вмененный доход для отдельных видов деятельности,2024-01-01,0.0,-0.002,0.0,2687942011,2024Q1
"Платежи, взимаемые государственными и муниципальными органами (организациями) за выполнение определенных функций",2024-01-01,0.2,0.3,125.9,2687942010,2024Q1
Платежи за пользование природными ресурсами,2024-01-01,0.0,-1e-06,0.0,2687942009,2024Q1
"Налог, взимаемый в связи с применением упрощенной системы налогообложения",2024-01-01,210.7,202.0,95.9,2687942008,2024Q1
АДМИНИСТРАТИВНЫЕ ПЛАТЕЖИ И СБОРЫ,2024-01-01,0.2,0.3,125.9,2687942007,2024Q1
Доходы от оказания платных услуг (работ),2024-01-01,1.6,1.5,94.6,2687941987,2024Q1
"Доходы, всего",2024-01-01,3789.6,4211.0,111.1,2687941986,2024Q1
"ЗАДОЛЖЕННОСТЬ И ПЕРЕРАСЧЕТЫ ПО ОТМЕНЕННЫМ НАЛОГАМ, СБОРАМ И ИНЫМ ОБЯЗАТЕЛЬНЫМ ПЛАТЕЖАМ",2024-01-01,0.0,0.004,0.0,2687942002,2024Q1
ДОХОДЫ ОТ ОКАЗАНИЯ ПЛАТНЫХ УСЛУГ И КОМПЕНСАЦИИ ЗАТРАТ ГОСУДАРСТВА,2024-01-01,12.6,16.1,127.8,2687941984,2024Q1
"Платежи, уплачиваемые в целях возмещения вреда",2024-01-01,0.03,0.04,150.1,2687941965,2024Q1
"Плата по соглашениям об установлении сервитута в отношении земельных участков, находящихся в государственной или муниципальной собственности",2024-01-01,1e-05,0.01,137074.1,2687941964,2024Q1
Налог на имущество организаций,2024-01-01,166.2,179.1,107.8,2687941963,2024Q1
Платежи в целях возмещения причиненного ущерба (убытков),2024-01-01,0.05,0.2,441.6,2687941962,2024Q1
"Доходы, получаемые в виде арендной либо иной платы за передачу в возмездное пользование государственного и муниципального имущества (за исключением имущества бюджетных и автономных учреждений, а также имущества государственных и муниципальных унитарных предприятий, в том числе казенных)",2024-01-01,90.0,123.8,137.5,2687941961,2024Q1
"Штрафы, неустойки, пени, уплаченные в соответствии с законом или договором в случае неисполнения или ненадлежащего исполнения обязательств перед государственным (муниципальным) органом, органом управления государственным внебюджетным фондом, казенным учреждением, Центральным банком Российской Федерации, иной организацией, действующей от имени Российской Федерации",2024-01-01,3.6,4.5,124.5,2687941960,2024Q1
Налог на имущество физических лиц,2024-01-01,24.7,30.4,123.2,2687941959,2024Q1
Доходы от размещения средств бюджетов,2024-01-01,63.1,96.3,152.5,2687941958,2024Q1
НАЛОГИ НА ИМУЩЕСТВО,2024-01-01,250.6,267.0,106.5,2687941957,2024Q1
"Административные штрафы, установленные законами субъектов Российской Федерации об административных правонарушениях",2024-01-01,11.9,10.8,91.0,2687941956,2024Q1
"Доходы в виде прибыли, приходящейся на доли в уставных (складочных) капиталах хозяйственных товариществ и обществ, или дивидендов по акциям, принадлежащим Российской Федерации, субъектам Российской Федерации или муниципальным образованиям",2024-01-01,1.8,2.1,116.5,2687941955,2024Q1
"Налог, взимаемый в связи с применением специального налогового режима «Автоматизированная упрощенная система налогообложения»",2024-01-01,0.0,0.3,0.0,2687941954,2024Q1
"Административные штрафы, установленные Кодексом Российской Федерации об административных правонарушениях, за административные правонарушения в области производства и оборота этилового спирта, алкогольной и спиртосодержащей продукции, а также за административные правонарушения порядка ценообразования в части регулирования цен на этиловый спирт, алкогольную и спиртосодержащую продукцию",2024-01-01,0.1,0.1,118.4,2687941953,2024Q1
"ДОХОДЫ ОТ ИСПОЛЬЗОВАНИЯ ИМУЩЕСТВА, НАХОДЯЩЕГОСЯ В ГОСУДАРСТВЕННОЙ И МУНИЦИПАЛЬНОЙ СОБСТВЕННОСТИ",2024-01-01,164.2,230.8,140.5,2687941952,2024Q1
ГОСУДАРСТВЕННАЯ ПОШЛИНА,2024-01-01,4.5,5.5,121.2,2687941985,2024Q1
Транспортный налог,2024-01-01,32.0,32.6,101.9,2687941966,2024Q1
"Доходы от сумм пеней, предусмотренных законодательством Российской Федерации о налогах и сборах, подлежащие зачислению в бюджеты субъектов Российской Федерации по нормативу, установленному Бюджетным кодексом Российской Федерации, распределяемые Федеральным казначейством между бюджетами субъектов Российской Федерации в соответствии с федеральным законом о федеральном бюджете",2024-01-01,0.0,8.0,0.0,2687941967,2024Q1
